Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,TO
98,Hawaii,15,31.9,19.1,32.2,59.2,228.5,1.5,36.1,203.1,5.6,2.5,68.3,431.7,6.3,10.5,10.4,1.9,22.7,5.9,51.1,0.3,0.9,1.3
99,Nevada,13,31.9,18.9,31.3,60.4,250.8,2.4,34.5,150.3,4.4,1.4,65.8,401.2,6.1,10.5,8.5,0.9,19.8,5.9,52.2,0.6,0.8,1.5
100,San Jose State,12,31.9,17.3,28.3,61.2,211.7,1.3,47.9,232.9,4.9,2.5,76.3,444.6,5.8,9.0,12.8,1.5,23.3,8.5,73.6,0.6,1.3,1.9
101,Boston College,13,32.2,22.8,35.1,65.1,285.5,2.2,40.5,193.2,4.8,1.5,75.6,478.7,6.3,12.8,9.8,1.0,23.5,5.8,41.4,0.5,0.8,1.3
102,Toledo,12,32.2,19.8,31.6,62.5,257.3,1.6,40.2,218.6,5.4,2.6,71.8,475.8,6.6,11.3,9.8,1.9,23.1,5.9,52.8,0.3,0.6,0.9
103,Charlotte,13,32.4,15.0,24.2,62.1,189.0,1.8,39.2,192.1,4.9,2.1,63.3,381.1,6.0,8.3,9.7,1.4,19.4,5.8,56.8,0.5,0.7,1.2
104,Georgia Tech,12,32.4,16.7,27.6,60.4,207.7,1.5,44.8,215.6,4.8,2.3,72.4,423.3,5.8,8.8,11.9,1.8,22.6,5.0,43.7,0.8,0.6,1.3
105,North Texas,12,32.5,19.2,31.2,61.5,222.3,1.2,40.3,189.5,4.7,2.6,71.4,411.8,5.8,10.0,9.7,2.1,21.8,4.7,38.4,0.8,0.3,1.1
106,Oregon State,12,32.5,21.8,34.6,63.1,276.2,2.3,39.1,169.5,4.3,1.8,73.7,445.7,6.0,12.4,9.5,2.3,24.3,5.1,45.1,0.7,0.7,1.3
107,Texas State,12,32.6,17.2,27.0,63.6,199.3,2.0,45.9,216.8,4.7,2.1,72.9,416.0,5.7,8.7,11.2,1.8,21.6,5.5,51.0,0.7,0.6,1.3
108,UNLV,12,33.0,20.4,34.4,59.3,256.2,1.3,36.0,186.8,5.2,2.3,70.4,442.9,6.3,11.4,8.8,1.5,21.8,6.3,62.2,0.4,0.8,1.2
109,Louisville,13,33.4,18.7,31.2,59.9,234.2,2.4,38.3,205.9,5.4,2.1,69.5,440.1,6.3,10.5,9.8,1.7,22.0,5.2,40.5,0.8,0.5,1.4
110,SMU,13,33.4,22.2,36.9,60.2,288.6,2.6,40.2,156.3,3.9,1.2,77.1,444.9,5.8,12.8,8.1,2.3,23.2,7.8,74.2,0.9,0.7,1.6
111,East Carolina,12,33.7,19.3,30.9,62.3,261.6,2.0,41.1,207.8,5.1,2.3,72.0,469.3,6.5,11.1,10.5,1.7,23.3,8.4,74.1,0.6,0.9,1.5
112,UTSA,12,33.9,17.9,28.3,63.4,230.8,1.8,37.3,198.9,5.3,2.3,65.5,429.8,6.6,11.2,9.6,2.2,22.6,5.0,46.3,0.9,0.5,1.4
113,Houston,12,34.0,20.9,34.2,61.2,288.4,2.4,34.5,179.1,5.2,2.0,68.7,467.5,6.8,11.4,8.9,1.5,21.6,7.6,68.8,0.5,0.7,1.2
114,Arkansas State,13,34.2,21.5,35.5,60.7,262.8,1.8,42.8,215.1,5.0,2.5,78.3,477.9,6.1,11.9,9.8,2.4,24.2,6.0,57.5,0.5,0.9,1.5
115,Maryland,12,34.7,22.0,33.8,65.2,271.3,1.9,41.5,178.4,4.3,2.3,75.3,449.7,6.0,11.9,9.7,1.4,23.0,5.9,53.3,0.5,0.8,1.3
116,Troy,12,34.8,21.8,32.8,66.5,276.3,2.2,37.3,157.8,4.2,2.0,70.1,434.2,6.2,11.6,8.8,1.7,22.1,7.5,67.8,0.4,0.9,1.3
117,UCLA,12,34.8,22.4,33.8,66.4,310.8,2.7,34.3,145.5,4.2,1.8,68.0,456.3,6.7,13.0,7.3,1.6,21.9,6.5,52.8,0.8,0.4,1.2
118,Arizona,12,35.8,23.5,35.8,65.6,289.8,2.2,38.2,181.8,4.8,2.3,74.0,471.6,6.4,12.1,10.3,2.2,24.6,6.9,64.9,0.3,0.9,1.3
119,UTEP,12,35.9,18.2,27.8,65.3,229.6,2.3,35.8,201.4,5.6,2.1,63.6,431.0,6.8,10.6,8.9,1.3,20.8,5.2,47.3,0.4,0.4,0.8
120,Kansas,12,36.1,20.0,31.3,63.8,249.5,1.8,45.9,225.7,4.9,2.7,77.3,475.2,6.2,11.5,12.7,1.7,25.8,6.7,62.2,0.2,0.5,0.7
121,Georgia State,13,36.2,17.7,27.8,63.5,238.8,2.1,40.2,217.8,5.4,2.5,68.1,456.6,6.7,9.7,11.0,1.4,22.0,5.0,46.0,0.6,0.7,1.3
122,Akron,12,36.3,16.8,25.5,66.0,200.7,1.9,47.0,213.3,4.5,2.3,72.5,414.0,5.7,8.8,11.5,1.4,21.8,5.3,47.0,0.5,0.4,0.9
123,Rutgers,12,36.7,17.4,28.6,60.9,232.5,2.1,40.8,202.2,5.0,2.4,69.3,434.7,6.3,10.5,9.8,2.5,22.8,5.5,48.4,0.3,0.5,0.8
124,Arkansas,12,36.8,18.9,28.4,66.6,229.2,2.1,40.2,222.0,5.5,2.4,68.6,451.2,6.6,10.9,10.2,1.7,22.8,5.8,54.4,0.8,0.5,1.3
125,New Mexico,12,37.2,21.5,34.3,62.6,321.4,2.8,37.8,164.5,4.3,1.8,72.2,485.9,6.7,11.9,8.4,2.1,22.4,6.7,58.5,0.6,0.3,0.9
126,Bowling Green State,12,38.6,16.5,24.8,66.7,224.3,2.0,41.8,242.8,5.8,3.0,66.5,467.2,7.0,9.5,10.3,1.7,21.5,5.3,45.5,0.7,0.6,1.3
127,Louisiana-Monroe,12,38.7,17.3,28.0,61.6,230.8,2.1,44.1,252.7,5.7,2.6,72.1,483.5,6.7,8.8,13.1,1.7,23.5,6.3,53.8,0.7,0.8,1.5
128,Connecticut,12,40.5,18.3,28.6,63.8,243.3,2.3,37.8,224.0,5.9,2.8,66.4,467.3,7.0,10.5,10.8,2.3,23.7,5.7,52.2,0.6,0.6,1.2
129,New Mexico State,12,41.0,18.3,30.2,60.8,220.8,1.8,42.7,259.4,6.1,2.9,72.8,480.2,6.6,9.9,12.3,1.3,23.6,5.4,46.4,0.6,0.4,1.0
130,Massachusetts,12,52.7,18.1,26.5,68.2,262.1,2.7,45.4,298.1,6.6,4.2,71.9,560.2,7.8,11.3,13.4,1.2,25.8,3.7,36.1,0.9,0.8,1.8
