Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,TO
13,Iowa,14,19.2,18.7,33.4,56.0,214.5,1.1,36.1,114.6,3.2,1.1,69.6,329.1,4.7,9.6,6.9,1.4,17.9,6.1,51.4,0.4,1.8,2.2
14,North Carolina State,12,19.7,18.1,34.3,52.7,207.6,1.6,32.5,124.1,3.8,0.8,66.8,331.7,5.0,9.0,5.8,2.7,17.5,6.9,57.2,0.1,1.3,1.3
15,Notre Dame,13,19.7,20.2,33.0,61.1,224.2,1.0,34.9,136.2,3.9,1.0,67.9,360.5,5.3,9.7,8.1,1.0,18.8,6.9,54.2,0.8,1.2,1.9
16,Air Force,13,19.8,14.6,26.2,55.9,193.5,1.2,30.3,102.5,3.4,1.4,56.5,296.0,5.2,7.9,6.2,1.0,15.2,5.5,44.1,0.6,0.6,1.2
17,San Diego State,14,19.8,22.1,39.1,56.7,244.1,1.8,29.4,80.4,2.7,0.5,68.5,324.4,4.7,10.1,5.1,2.4,17.5,6.6,58.5,0.4,1.2,1.6
18,Alabama,15,20.1,19.8,31.4,63.1,218.1,1.7,32.3,84.9,2.6,0.6,63.7,302.9,4.8,9.3,5.7,2.6,17.7,6.8,49.4,0.3,1.0,1.3
19,Houston,14,20.4,16.3,29.5,55.2,194.0,1.3,31.4,107.5,3.4,0.9,60.9,301.5,4.9,7.9,5.7,1.9,15.5,5.4,44.1,0.6,1.0,1.6
20,Fresno State,13,20.5,16.3,31.2,52.3,222.0,1.3,34.8,125.1,3.6,1.2,66.0,347.1,5.3,9.2,6.5,2.5,18.4,6.4,56.2,1.0,0.8,1.8
21,Iowa State,13,20.5,16.4,26.8,61.0,187.8,1.5,34.4,122.9,3.6,0.8,61.2,310.7,5.1,8.2,7.4,1.0,16.6,5.2,47.8,0.3,0.8,1.2
22,Arizona State,13,20.8,17.6,29.4,59.9,194.8,1.0,36.2,132.8,3.7,1.4,65.5,327.7,5.0,9.1,7.7,2.7,19.5,5.1,46.8,0.3,1.2,1.5
23,Kansas State,13,21.0,19.8,29.0,68.4,215.2,1.2,35.1,129.9,3.7,1.1,64.1,345.2,5.4,9.6,7.2,1.2,18.0,5.3,43.5,0.5,0.8,1.3
24,Liberty,13,21.5,15.4,27.2,56.5,180.3,1.1,39.9,140.5,3.5,1.5,67.2,320.8,4.8,7.5,9.0,2.2,18.6,6.0,55.4,0.2,0.7,0.8
25,Coastal Carolina,13,21.6,16.0,27.5,58.1,190.7,1.2,36.6,149.8,4.1,1.6,64.2,340.5,5.3,8.4,8.2,1.3,17.8,3.9,29.8,0.5,0.5,1.0
26,Kentucky,13,21.7,20.6,31.0,66.5,218.6,1.5,30.8,122.2,4.0,0.9,61.8,340.8,5.5,10.6,6.3,1.7,18.6,5.9,45.6,0.2,0.7,0.9
27,Auburn,13,21.8,22.2,34.6,64.2,245.6,1.8,35.5,129.3,3.6,0.6,70.2,374.9,5.3,11.8,6.7,1.6,20.2,5.3,43.9,0.2,0.7,0.9
28,Toledo,13,21.8,17.5,31.3,55.8,198.0,1.3,40.2,151.9,3.8,0.8,71.5,349.9,4.9,9.2,7.8,2.5,19.5,6.3,55.9,0.8,0.6,1.4
29,Illinois,12,21.9,17.8,30.3,58.7,215.2,1.0,39.6,151.4,3.8,1.3,69.8,366.6,5.2,9.9,9.8,1.4,21.1,4.9,49.0,0.7,0.8,1.4
30,Appalachian State,14,22.1,17.9,31.6,56.8,222.0,1.3,34.1,127.9,3.7,1.3,65.7,349.9,5.3,9.4,7.1,1.6,18.2,5.2,48.7,0.5,1.1,1.6
31,Boston College,12,22.2,14.9,25.8,57.9,173.5,1.2,37.4,170.4,4.6,1.3,63.2,343.9,5.4,7.8,8.8,1.9,18.6,7.0,61.0,0.6,0.8,1.4
32,Army,13,22.3,15.5,26.2,59.4,211.2,1.2,30.4,118.2,3.9,1.5,56.5,329.4,5.8,9.5,5.9,1.2,16.6,4.8,37.2,0.5,0.8,1.2
33,California,12,22.3,20.2,34.3,58.9,229.5,1.7,34.3,140.6,4.1,1.1,68.6,370.1,5.4,10.3,9.0,1.9,21.3,5.7,48.6,0.6,1.1,1.7
